iter	Accuracy	MultiClass
0	0.5023330223	1.331741513
1	0.5333066702	1.285601174
2	0.5385504155	1.247741782
3	0.5457938941	1.216368537
4	0.5481046972	1.190923462
5	0.553570635	1.166793812
6	0.5571257166	1.145038387
7	0.5596587122	1.125564123
8	0.5652579656	1.10814176
9	0.5663689286	1.092112887
10	0.5688574857	1.078510411
11	0.5708127805	1.065648274
12	0.575389948	1.053815754
13	0.5784562058	1.0423968
14	0.58103364	1.032823311
15	0.5816113407	1.024344655
16	0.5852997378	1.015448457
17	0.5854330534	1.008484254
18	0.5854330534	1.001783691
19	0.5873439097	0.9953807488
20	0.5908545527	0.9890900606
21	0.5923210239	0.9840561409
22	0.5920099542	0.9786288565
23	0.5942318802	0.9739491234
24	0.5959649824	0.9694588965
25	0.5978758388	0.9641394577
26	0.5984535395	0.9592623867
27	0.6004977114	0.9545702328
28	0.6019641826	0.9504693854
29	0.6032084611	0.9462909675
30	0.6049860019	0.9424803095
31	0.6057414567	0.9395508875
32	0.6073412434	0.9359243208
33	0.6081855753	0.932714259
34	0.6095187308	0.9295465814
35	0.6103186242	0.9266125839
36	0.6111629561	0.9238888005
37	0.6115184642	0.920528305
38	0.6141403368	0.918059233
39	0.6163178243	0.9153512776
40	0.6177842954	0.9124288617
41	0.6181398036	0.9102432483
42	0.6193396436	0.9078082589
43	0.6192952051	0.9061461706
44	0.6196507132	0.9038290235
45	0.6203617295	0.9017536461
46	0.6209838688	0.8997892164
47	0.6233835489	0.8972971069
48	0.6242723192	0.894969921
49	0.6239612496	0.893305872
50	0.6253832822	0.891437942
51	0.6257387904	0.8900101466
52	0.6268497534	0.8881211755
53	0.6265386837	0.8868456504
54	0.627071946	0.8849175377
55	0.6284495401	0.8831467476
56	0.6284939786	0.881580606
57	0.6297826956	0.8800442474
58	0.6304048349	0.8786770744
59	0.630671466	0.8767340805
60	0.6303159579	0.8753627036
61	0.6312936053	0.8740459059
62	0.6320046216	0.8720634174
63	0.6329378305	0.8709061366
64	0.6343154246	0.8688891331
65	0.6347153713	0.8677164318
66	0.6354708261	0.8662669674
67	0.6360040883	0.8647673868
68	0.6367151047	0.8634069692
69	0.637514998	0.8619276261
70	0.6384926454	0.8602304629
71	0.6385370839	0.8589571994
72	0.6388481536	0.8578747349
73	0.6393369773	0.8566810959
74	0.6397813625	0.8553467768
75	0.6412033951	0.8543240764
76	0.6408478869	0.853348377
77	0.6419588499	0.8525064226
78	0.6418699729	0.8513232679
79	0.6418255344	0.850065012
80	0.6425365507	0.8491240881
81	0.6423587966	0.8481159407
82	0.6435141981	0.8469126911
83	0.6438697063	0.8457356224
84	0.6453361774	0.8444031365
85	0.6453806159	0.8434547209
86	0.6455139315	0.8425269079
87	0.6460027552	0.8413348537
88	0.6464915789	0.8402250408
89	0.6468470871	0.8393197183
90	0.64795805	0.8381621858
91	0.6486690663	0.8370542357
92	0.6493800827	0.8361115104
93	0.6500022219	0.8351377244
94	0.6501355375	0.8339698165
95	0.6509798694	0.8325537373
96	0.6506243612	0.832054572
97	0.6515575701	0.8307643167
98	0.6522241479	0.8294338171
99	0.6527574101	0.8285122512
100	0.6537350575	0.8276527659
101	0.6548460205	0.8264119501
102	0.6549793361	0.8252539941
103	0.6557792294	0.8244318957
104	0.6560458606	0.8231628363
105	0.6562236146	0.8222514403
106	0.6568901924	0.8210856988
107	0.6569790695	0.8203998905
108	0.6568013154	0.8194315305
109	0.6576012087	0.8186618964
110	0.6580455939	0.8176532723
111	0.6588010487	0.8166170892
112	0.6603119584	0.8154622965
113	0.6607119051	0.8142499608
114	0.6610229747	0.8133321342
115	0.6608452206	0.8124207322
116	0.6625338844	0.8116005299
117	0.6624894459	0.810704941
118	0.662844954	0.8098718847
119	0.6638226014	0.8090937027
120	0.6636892859	0.808392689
121	0.6643558637	0.8077289938
122	0.6645780563	0.8067130919
123	0.6655557037	0.8055533922
124	0.6664444741	0.8044492456
125	0.6667111052	0.8034982071
126	0.6671999289	0.8026184605
127	0.6674221215	0.8020375628
128	0.6679553837	0.801282003
129	0.6678220682	0.8006596133
130	0.6682220148	0.7998939749
131	0.6688441541	0.7991590495
132	0.6695107319	0.7981103463
133	0.6699995556	0.7971205086
134	0.6696440475	0.7961865825
135	0.6711105186	0.7952994883
136	0.6715104653	0.7944868272
137	0.6721326045	0.7938305453
138	0.6723103586	0.7925475487
139	0.6725325512	0.7918886965
140	0.6735546372	0.7911198504
141	0.6731546905	0.7902994977
142	0.6734657601	0.7894794158
143	0.6735546372	0.7889654716
144	0.6744434075	0.7881139593
145	0.6747989157	0.7873151928
146	0.6755543705	0.7863840205
147	0.675421055	0.7855808698
148	0.6766653335	0.7850640619
149	0.6765764565	0.7841825058
150	0.6767542105	0.7837726696
151	0.6776429809	0.7827949211
152	0.6778651735	0.7821906442
153	0.6782651202	0.7815923422
154	0.6783539972	0.7809847389
155	0.6785317513	0.7801704122
156	0.6795093987	0.7790031764
157	0.6798649069	0.7781731712
158	0.6796427143	0.7777114787
159	0.6801759765	0.7767848455
160	0.6807536773	0.7762011338
161	0.6812869395	0.7757424741
162	0.6816868862	0.7752203445
163	0.6822645869	0.7748583817
164	0.6828422877	0.774363843
165	0.6831977958	0.7735084269
166	0.6833311114	0.7727730004
167	0.683553304	0.7723593633
168	0.6843531974	0.7718689984
169	0.6844865129	0.7714411251
170	0.6849753366	0.7706060173
171	0.6847975825	0.7698706693
172	0.6852419677	0.7691293615
173	0.6852419677	0.768571386
174	0.6852864063	0.7679963067
175	0.6863084922	0.7672775129
176	0.6862196152	0.7665956178
177	0.6863084922	0.7658317043
178	0.6860418611	0.7655182145
179	0.6872417011	0.7645737172
180	0.6879971559	0.7636588611
181	0.6886192952	0.7629381677
182	0.6883971026	0.7623630157
183	0.6888859263	0.7619090743
184	0.6893303115	0.7616226263
185	0.6894191886	0.7610751837
186	0.6898191352	0.7606432629
187	0.6899968893	0.7602368556
188	0.6900857663	0.7596765346
189	0.6910189752	0.7589701426
190	0.6911522908	0.7583381273
191	0.6911967293	0.7579873037
192	0.691596676	0.7575875783
193	0.6919077456	0.756947883
194	0.6932409012	0.7563252577
195	0.6933742168	0.7558837725
196	0.6935075323	0.7554365884
197	0.6940852331	0.754865184
198	0.6939519175	0.754384868
199	0.6945296183	0.7535335125
200	0.6948851264	0.7527092074
201	0.6948851264	0.7523415461
202	0.6949740035	0.7517109246
203	0.6959072124	0.7510381278
204	0.696129405	0.7505651875
205	0.6965737902	0.7499733203
206	0.697240368	0.7494024155
207	0.6974625605	0.7487343541
208	0.6982180154	0.7481596572
209	0.698440208	0.7476413843
210	0.6984846465	0.7472289588
211	0.6979069457	0.7466964587
212	0.6982180154	0.746403925
213	0.6987957161	0.746018967
214	0.698617962	0.7457235597
215	0.6988845932	0.7453320326
216	0.6992401013	0.7447901235
217	0.7000844332	0.7439602622
218	0.7000844332	0.7433893398
219	0.7006621339	0.7431440346
220	0.7016397814	0.7426049752
221	0.7014175888	0.7422745276
222	0.701861974	0.7414996509
223	0.7019952895	0.7409727351
224	0.7019952895	0.7406569963
225	0.7024841132	0.7402065642
226	0.7027507443	0.7398309259
227	0.7033728836	0.7391556148
228	0.7036839533	0.7387067591
229	0.7039061458	0.7384371594
230	0.7037283918	0.7379713383
231	0.704172777	0.7373469336
232	0.7046616007	0.7369784034
233	0.7045282851	0.7365778652
234	0.7050171088	0.7363211848
235	0.7049726703	0.7360972288
236	0.7055503711	0.735330262
237	0.7061725103	0.7348201248
238	0.706572457	0.7345040631
239	0.7067502111	0.7340556036
240	0.7068835266	0.7336377951
241	0.7070168422	0.7332167102
242	0.7071501578	0.7328550451
243	0.70768342	0.7326939512
244	0.7079500511	0.7322543164
245	0.7083499978	0.7319537967
246	0.7086166289	0.7317215854
247	0.7083499978	0.7312376547
248	0.7094609608	0.7306568174
249	0.7098164689	0.7304043271
250	0.7098164689	0.7300335211
251	0.7100831	0.7294982166
252	0.7105719237	0.7291923091
253	0.7107941163	0.7289237995
254	0.7113718171	0.7284355429
255	0.7110607475	0.7279239076
256	0.7109718704	0.7276722996
257	0.7113273786	0.7272485449
258	0.7115051326	0.7265209932
259	0.7118162023	0.7260593966
260	0.7128827267	0.7253875584
261	0.7130604808	0.7248521669
262	0.7133271119	0.7246911467
