iter	Passed	Remaining
0	323	3235935
1	623	3118648
2	922	3073046
3	1190	2974257
4	1474	2946954
5	1788	2978671
6	2056	2936195
7	2326	2905534
8	2615	2903252
9	2909	2906318
10	3179	2887660
11	3465	2884048
12	3747	2879114
13	4016	2864612
14	4285	2852457
15	4553	2841173
16	4816	2828619
17	5101	2829265
18	5403	2838691
19	5694	2841323
20	5950	2827719
21	6227	2824337
22	6501	2820193
23	6785	2820480
24	7059	2816586
25	7363	2824915
26	7640	2822294
27	7901	2814095
28	8187	2815065
29	8450	2808490
30	8714	2802484
31	8958	2790592
32	9257	2796089
33	9544	2797705
34	9809	2792852
35	10039	2778834
36	10293	2771618
37	10551	2766056
38	10856	2772807
39	11123	2769652
40	11386	2765756
41	11644	2760847
42	11901	2755882
43	12156	2750587
44	12424	2748588
45	12686	2745287
46	12932	2738658
47	13188	2734471
48	13437	2728971
49	13696	2725662
50	13967	2724766
51	14219	2720258
52	14476	2716859
53	14731	2713322
54	14978	2708416
55	15245	2707144
56	15502	2704317
57	15757	2701104
58	16007	2697115
59	16278	2696727
60	16527	2692818
61	16803	2693510
62	17089	2695464
63	17367	2696314
64	17627	2694327
65	17875	2690459
66	18135	2688683
67	18413	2689430
68	18663	2686176
69	18939	2686636
70	19194	2684206
71	19453	2682421
72	19707	2680005
73	19965	2678045
74	20229	2677101
75	20487	2675279
76	20749	2674021
77	21001	2671506
78	21258	2669720
79	21528	2669576
80	21773	2666269
81	22014	2662717
82	22259	2659649
83	22525	2659096
84	22786	2658002
85	23049	2657089
86	23288	2653512
87	23546	2652145
88	23779	2648072
89	24032	2646282
90	24285	2644419
91	24531	2641945
92	24780	2639823
93	25068	2641805
94	25331	2641137
95	25593	2640440
96	25835	2637633
97	26069	2634107
98	26343	2634574
99	26605	2633959
100	26883	2634871
101	27146	2634279
102	27406	2633444
103	27682	2634102
104	27938	2632855
105	28188	2631130
106	28460	2631353
107	28714	2630002
108	28958	2627745
109	29213	2626527
110	29466	2625173
111	29706	2622647
112	29955	2620968
113	30208	2619640
114	30467	2618908
115	30711	2616846
116	30957	2614987
117	31226	2615069
118	31484	2614243
119	31725	2612051
120	31967	2609934
121	32208	2607836
122	32460	2606618
123	32717	2605790
124	32984	2605757
125	33228	2603931
126	33481	2602895
127	33725	2601060
128	33979	2600062
129	34226	2598598
130	34485	2597960
131	34757	2598362
132	35029	2598765
133	35285	2597927
134	35524	2595945
135	35773	2594639
136	36024	2593488
137	36277	2592502
138	36545	2592634
139	36789	2591029
140	37073	2592265
141	37334	2591832
142	37583	2590664
143	37829	2589239
144	38094	2589130
145	38343	2587949
146	38596	2586989
147	38845	2585853
148	39096	2584828
149	39349	2583928
150	39589	2582210
151	39847	2581724
152	40093	2580428
153	40345	2579476
154	40607	2579226
155	40894	2580517
156	41168	2581053
157	41415	2579805
158	41654	2578099
159	41912	2577642
160	42170	2577144
161	42417	2575937
162	42685	2576080
163	42938	2575286
164	43185	2574114
165	43433	2573071
166	43686	2572267
167	43928	2570854
168	44169	2569416
169	44396	2567160
170	44656	2566861
171	44896	2565379
172	45165	2565570
173	45408	2564286
174	45666	2563828
175	45911	2562679
176	46165	2562039
177	46421	2561530
178	46680	2561164
179	46942	2560981
180	47198	2560443
181	47449	2559690
182	47694	2558572
183	47951	2558100
184	48209	2557692
185	48437	2555729
186	48666	2553840
187	48917	2553071
188	49177	2552796
189	49437	2552532
190	49673	2551023
191	49914	2549792
192	50161	2548888
193	50405	2547818
194	50663	2547486
195	50902	2546186
196	51128	2544221
197	51377	2543425
198	51622	2542472
199	51875	2541893
200	52134	2541614
201	52374	2540407
202	52680	2542396
203	52943	2542343
204	53212	2542526
205	53474	2542362
206	53750	2542912
207	53999	2542136
208	54247	2541315
209	54489	2540227
210	54740	2539589
211	54996	2539197
212	55246	2538505
213	55513	2538560
214	55768	2538101
215	56015	2537278
216	56280	2537313
217	56537	2536948
218	56787	2536245
219	57043	2535848
220	57331	2536846
221	57571	2535721
222	57843	2536026
223	58116	2536369
224	58372	2535980
225	58640	2536064
226	58911	2536289
227	59183	2536588
228	59444	2536389
229	59695	2535757
230	59944	2535041
231	60216	2535301
232	60460	2534407
233	60708	2533659
234	60952	2532765
235	61197	2531906
236	61458	2531735
237	61723	2531680
238	61951	2530171
239	62203	2529597
240	62462	2529327
241	62697	2528123
242	62940	2527204
243	63198	2526923
244	63441	2526016
245	63687	2525217
246	63918	2523862
247	64159	2522912
248	64400	2521952
249	64636	2520833
250	64893	2520518
251	65133	2519539
252	65384	2518998
253	65627	2518119
254	65882	2517752
255	66121	2516757
256	66345	2515184
257	66594	2514572
258	66835	2513691
259	67095	2513496
260	67345	2512938
261	67595	2512373
262	67846	2511866
